{'id': '0'}	{'y': '77', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '152'}
{'id': '1'}	{'y': '77', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '152'}
{'id': '6'}	{'y': '74', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '14', 'x': '152'}
{'y': '77', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '163'}
{'id': '7'}	{'y': '74', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '14', 'x': '150'}
{'y': '79', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '166'}
{'id': '8'}	{'y': '76', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '168'}
{'y': '72', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '145'}
{'id': '9'}	{'y': '72', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '144'}
{'y': '75', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '168'}
{'id': '10'}	{'y': '76', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '144'}
{'y': '74', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '172'}
{'id': '11'}	{'y': '80', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '145'}
{'y': '72', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '174'}
{'id': '12'}	{'y': '80', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '145'}
{'y': '73', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '177'}
{'y': '155', 'h': '29', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '57', 'x': '229'}
{'id': '13'}	{'y': '80', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '148'}
{'y': '73', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '177'}
{'y': '155', 'h': '29', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '57', 'x': '241'}
{'id': '14'}	{'y': '80', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '150'}
